locus	snps
1304	1
1305	1
1306	7
1308	1
1309	2
1310	0
1314	2
1315	3
1316	2
1317	2
1319	1
1321	0
1322	1
1324	4
1326	6
1327	2
1328	2
1329	1
1332	3
1335	0
1336	1
1337	2
1338	2
1339	7
1340	2
1341	7
1342	2
